Nr ,Tytu³ ,"Rok bitwy, kampanii lub wojny ",Autor ,Wydanie 
1,Berlin 1945 ,1945,Zdzis³aw St¹por ,"1980, 2005, 2015* "
2,Wiedeñ 1683 ,1683,Leszek Podhorodecki ,"1980, 1983, 2001, 2012 "
3,Grochów 1831 ,1831,Wies³aw Majewski ,1982
4,Budziszyn 1945 ,1945,Kazimierz Kaczmarek ,1982
5,Po³tawa 1709 ,1709,W³adys³aw A. Serczyk ,"1982, 2004 "
6,Okinawa 1945 ,1945,Antoni Wolny ,"1983, 2004 "
7,Kursk 1943 ,1943,Antoni Karpiñski ,1983
8,Lenino 1943 ,1943,Kazimierz Sobczak ,1983
9,Waterloo 1815 ,1815,Tomasz Malarski ,"1984, 1997, 2003, 2015* "
10,Bzura 1939 ,1939,Tadeusz Jurga ,"1984, 2001*, 2013* "
11,Saratoga–Yorktown 1777–1781 ,1777,Izabella Rusinowa ,1984
12,Kanny 216 p.n.e. ,-216,Janusz Sikorski ,"1984, 2012 "
13,Tenochtitlan 1521 ,1521,Ryszard Tomicki ,1984
14,Leningrad 1941–1944 ,1941,Ryszard Dzieszyñski ,"1986, 2012* "
15,Crécy–Orlean 1346–1429 ,1346,Edward Potkowski ,1986
16,Stalingrad 1942–1943 ,1942,Kazimierz Kaczmarek ,1986
17,Kulikowe Pole 1380 ,1380,Leszek Podhorodecki ,"1986, 2008 "
18,Szypka i Plewna 1877 ,1877,Bogus³aw Brodecki ,"1986, 2010 "
19,Akcjum 31 p.n.e. ,-31,Andrzej Murawski ,"1986, 2003, 2024 "
20,Madryt 1936–1937 ,1936,Lech Wyszczelski ,1986
21,Bolonia 1945 ,1945,Witold Biegañski ,1986
22,Zatoka Œwie¿a 1463 ,1463,Józef Wies³aw Dyskant ,"1987, 2009 "
23,Kircholm 1605 ,1605,Henryk Wisner ,"1987, 2005, 2016 "
24,Moskwa 1941 ,1941,Wies³aw Wróblewski ,1987
25,"Sewastopol 1941–1942, 1944 ",1941,Tadeusz Konecki ,1987
26,Kostrzyn 1945 ,1945,Andrzej Toczewski ,1987
27,Chocim 1621 ,1621,Leszek Podhorodecki ,"1988, 2008, 2015 "
28,Gaugamela 331 p.n.e. ,-331,Edward D¹browa ,"1988, 2010 "
