Nr,Tytuł ,"Rok bitwy, kampanii lub wojny",Autor,Wydanie,Wikipedia_url,Lat,Lng
1,"Berlin 1945",1945,"Zdzisław Stąpor","1980,2005,2015",https://pl.wikipedia.org/wiki/Operacja_berli%C5%84ska,52.51861111111111,13.376111111111111
2,"Wiedeń 1683",1683,"Leszek Podhorodecki","1980,1983,2001,2012",https://pl.wikipedia.org/wiki/Bitwa_pod_Wiedniem,48.208330555555555,16.37306388888889
3,"Grochów 1831",1831,"Wiesław Majewski","1982",https://pl.wikipedia.org/wiki/Bitwa_pod_Bia%C5%82o%C5%82%C4%99k%C4%85,52.192899999999995,20.8897
4,"Budziszyn 1945",1945,"Kazimierz Kaczmarek","1982",https://pl.wikipedia.org/wiki/Bitwa_pod_Budziszynem_(1945),51.18333333333333,14.416666666666666
5,"Połtawa 1709",1709,"Władysław A. Serczyk","1982,2004",https://pl.wikipedia.org/wiki/Bitwa_pod_Po%C5%82taw%C4%85,49.63138888888889,34.55277777777778
6,"Okinawa 1945",1945,"Antoni Wolny","1983,2004",https://pl.wikipedia.org/wiki/Bitwa_o_wysp%C4%99_Okinawa,26.5,128.0
7,"Kursk 1943",1943,"Antoni Karpiński","1983",https://pl.wikipedia.org/wiki/Bitwa_na_%C5%82uku_kurskim,51.7,36.1
8,"Lenino 1943",1943,"Kazimierz Sobczak","1983",https://pl.wikipedia.org/wiki/Bitwa_pod_Lenino,54.41711111111111,31.122194444444446
9,"Waterloo 1815",1815,"Tomasz Malarski","1984,1997,2003,2015",https://pl.wikipedia.org/wiki/Bitwa_pod_Waterloo,50.67805555555555,4.412222222222223
10,"Bzura 1939",1939,"Tadeusz Jurga","1984,2001,2013",https://pl.wikipedia.org/wiki/Bitwa_nad_Bzur%C4%85,52.2333,19.3667
11,"Saratoga–Yorktown 1777–1781",1777,"Izabella Rusinowa","1984",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Yorktown,37.23083333333334,-76.5025
12,"Kanny 216 p.n.e.",-216,"Janusz Sikorski","1984,2012",https://pl.wikipedia.org/wiki/Bitwa_pod_Kannami,41.30638888888888,16.1325
13,"Tenochtitlan 1521",1521,"Ryszard Tomicki","1984",https://pl.wikipedia.org/wiki/Bitwa_pod_Tenochtitl%C3%A1n,19.435,-99.13139
14,"Leningrad 1941–1944",1941,"Ryszard Dzieszyński","1986,2012",https://pl.wikipedia.org/wiki/Bitwa_pod_Rosieniami,55.35,23.2833
15,"Crécy–Orlean 1346–1429",1346,"Edward Potkowski","1986",https://pl.wikipedia.org/wiki/Bitwa_pod_Cr%C3%A9cy,50.257,1.904
16,"Stalingrad 1942–1943",1942,"Kazimierz Kaczmarek","1986",https://pl.wikipedia.org/wiki/Bitwa_stalingradzka,48.7,44.516666666666666
17,"Kulikowe Pole 1380",1380,"Leszek Podhorodecki","1986,2008",https://pl.wikipedia.org/wiki/Bitwa_na_Kulikowym_Polu,53.652499999999996,38.65361111111111
